Streamer_ID,Avg_Viewers,Peak_Viewers,Genre_Type,Donation_Amount,Hours_Streamed,Platform_Type
1219.0,15.65,78.47,5.87,96.79,702.22,Unknown
1220.0,527.59,89.69,3.67,85.38,,
1221.0,470.59,25.0,7.05,42.36,788.1,Low
1222.0,121.11,21.82,7.33,26.41,689.81,High
1223.0,516.09,24.42,0.05,32.66,,High
1224.0,746.22,84.8,9.29,20.6,974.1,Medium
1225.0,,44.79,1.92,36.93,600.12,Medium
,264.17,94.9,3.71,68.63,590.06,High
1227.0,565.55,22.23,5.9,97.14,506.27,Low
1228.0,900.42,59.37,7.41,88.96,589.17,High
1229.0,507.35,45.57,3.03,19.61,148.23,High
1230.0,394.21,25.69,9.04,5.93,408.4,Unknown
1231.0,948.05,91.19,7.63,30.18,852.85,Medium
1232.0,639.4,86.63,2.94,87.63,846.38,Unknown
1233.0,949.32,60.1,7.61,86.79,880.14,Medium
1234.0,661.38,52.13,8.84,8.72,627.22,High
1235.0,242.24,65.8,9.87,14.89,412.76,Low
1236.0,62.57,12.53,9.95,12.74,921.43,Unknown
1237.0,478.69,79.14,1.84,6.53,384.36,High
1238.0,716.49,78.93,0.98,74.44,532.9,Low
1239.0,829.7,91.21,0.85,,279.05,Unknown
1240.0,4.02,90.09,0.47,46.99,731.87,Unknown
1241.0,5.7,79.08,0.03,63.24,67.46,Unknown
1242.0,430.49,2.58,2.35,10.54,318.73,Medium
1243.0,,47.74,0.9,72.38,311.06,Medium
1244.0,386.71,36.18,0.39,20.83,69.71,Low
1245.0,470.07,38.25,9.8,64.49,27.81,Low
1246.0,234.86,92.59,1.38,50.64,688.46,Medium
1247.0,77.01,85.47,2.48,58.09,790.58,Medium
1248.0,333.73,36.75,2.6,95.77,267.75,Unknown
1249.0,735.85,6.82,9.39,15.91,101.51,Medium
1250.0,457.57,59.43,3.68,75.84,31.76,Low
1251.0,380.97,61.55,6.1,8.08,686.31,Medium
1252.0,755.87,43.97,5.5,63.1,65.32,Low
1253.0,686.22,27.63,9.36,75.11,318.49,Medium
1254.0,80.08,1.92,5.09,49.82,827.73,High
1255.0,930.43,96.67,0.42,55.74,833.9,Low
1256.0,,18.96,7.72,71.77,356.27,Medium
1257.0,376.74,27.62,9.93,3.2,664.29,High
1258.0,826.16,94.32,7.51,72.23,800.78,Medium
1259.0,894.47,38.51,5.0,95.23,189.92,High
1260.0,725.49,1.71,7.63,17.91,53.69,Medium
1261.0,733.67,21.31,1.66,78.7,182.12,
1262.0,366.25,77.98,3.71,96.45,292.3,
1263.0,758.29,62.27,3.48,56.73,511.55,Medium
1264.0,956.7,5.02,9.83,,392.98,Low
1265.0,867.86,88.64,2.61,19.88,332.68,Medium
1266.0,479.54,62.98,2.85,3.4,142.44,Low
1267.0,696.62,19.09,8.59,84.79,241.11,Low
1268.0,856.07,5.46,3.09,5.32,738.25,High
1269.0,988.88,23.51,6.25,7.85,90.9,High
1270.0,968.72,32.7,1.38,18.22,952.09,Unknown
1271.0,685.54,0.17,2.58,90.01,517.47,Low
,80.42,84.62,4.16,6.85,447.14,Unknown
1273.0,409.84,45.59,7.7,27.0,319.84,Unknown
1274.0,81.61,64.33,3.2,51.65,618.05,Unknown
1275.0,510.29,93.79,9.47,52.0,26.59,Medium
,877.7,24.25,4.03,98.32,73.62,Medium
1277.0,3.57,57.77,4.18,15.99,262.03,Unknown
,888.7,42.62,9.29,95.09,413.01,Medium
1279.0,313.39,10.62,4.02,76.46,788.14,Low
1280.0,840.1,40.0,7.28,42.59,166.91,High
1281.0,305.1,91.39,0.7,47.8,935.82,High
1282.0,761.37,38.38,8.12,37.83,144.38,High
1283.0,705.65,30.8,9.14,15.7,692.48,Medium
1284.0,238.26,69.32,9.52,60.77,573.92,Medium
1285.0,448.56,86.39,6.73,70.48,906.85,Low
1286.0,71.5,78.81,5.22,77.58,972.18,High
1287.0,900.51,37.98,8.92,72.11,123.68,Unknown
1288.0,679.22,81.17,4.81,4.44,330.31,High
1289.0,764.94,86.86,1.14,43.01,635.34,Unknown
1290.0,903.28,16.44,7.84,92.28,918.65,Unknown
1291.0,139.88,90.92,3.81,30.09,569.96,High
1292.0,628.33,75.37,4.32,62.1,36.35,Medium
1293.0,55.29,92.14,3.06,61.47,173.17,High
1294.0,889.36,14.39,9.82,97.25,461.72,Unknown
1295.0,159.88,11.89,9.71,83.89,293.52,High
1296.0,721.37,82.15,2.98,95.62,176.42,Medium
1297.0,221.99,50.13,6.51,17.58,425.84,High
1298.0,106.9,42.43,9.99,74.22,378.96,Low
1299.0,868.29,37.49,5.92,33.44,625.67,Medium
1300.0,287.59,60.42,7.09,9.08,833.21,High
1301.0,321.65,6.64,1.12,59.48,245.24,Medium
1302.0,406.42,86.34,1.46,7.61,804.13,Medium
1303.0,997.8,70.45,8.88,97.53,121.29,Medium
1304.0,534.69,94.51,4.51,80.23,88.8,Medium
1305.0,867.75,50.87,0.83,14.99,934.07,High
1306.0,287.79,15.9,5.89,67.95,682.23,Medium
1307.0,755.48,63.85,9.55,54.47,605.65,Unknown
1308.0,295.68,4.81,0.71,60.04,111.59,High
1309.0,721.32,14.92,7.57,33.75,,High
1310.0,78.91,14.1,7.03,14.25,425.57,Low
1311.0,378.05,99.07,9.86,0.63,472.89,Low
1312.0,535.31,85.15,8.55,49.44,577.95,
1313.0,256.8,9.29,5.31,83.09,955.58,Low
1314.0,,92.86,7.33,,961.49,Medium
1315.0,842.52,14.5,3.18,96.62,240.57,Medium
1316.0,218.27,59.22,4.03,7.93,731.07,Medium
1317.0,690.06,30.56,0.89,88.64,214.87,High
1318.0,704.62,24.89,8.34,40.73,303.52,High
1319.0,34.59,63.12,9.76,94.1,884.43,
1320.0,84.38,73.26,3.69,94.85,602.3,Unknown
1321.0,824.17,43.99,5.1,19.64,906.11,Low
1322.0,766.33,20.01,8.53,65.68,961.17,High
1323.0,426.47,93.46,6.93,82.38,256.01,Unknown
1324.0,845.72,1.59,7.63,93.24,584.54,Low
1325.0,895.9,96.7,0.6,11.19,865.96,High
1326.0,,50.1,6.14,3.19,950.55,Low
1327.0,229.5,17.84,3.76,50.95,883.92,Low
1328.0,655.0,35.58,3.81,31.31,931.13,Unknown
1329.0,408.49,99.62,9.46,14.6,72.16,Medium
1330.0,414.9,33.5,,41.26,307.61,Unknown
,436.67,26.11,5.56,10.43,589.77,Unknown
1332.0,477.18,15.76,,82.43,769.77,High
1333.0,187.07,79.57,6.95,16.0,881.91,Medium
1334.0,216.39,68.52,7.66,81.15,65.73,High
1335.0,599.42,50.73,,19.08,195.83,Medium
1336.0,531.07,77.06,4.65,18.96,880.94,High
1337.0,394.75,11.23,6.0,7.2,570.88,Unknown
1338.0,850.19,98.84,3.85,99.87,744.86,Low
1339.0,697.98,19.82,3.51,73.55,590.84,Unknown
1340.0,350.47,24.07,3.38,84.93,275.68,Low
1341.0,488.99,49.1,8.9,71.98,235.93,Low
1342.0,434.71,67.3,9.74,71.25,927.91,Medium
1343.0,541.92,71.62,8.54,27.5,884.22,High
1344.0,896.37,12.04,9.57,62.24,631.63,Low
1345.0,693.49,45.26,6.11,35.75,778.73,Medium
1346.0,684.1,38.94,2.66,3.73,127.13,Low
,590.4,34.5,7.63,30.25,237.26,Medium
1348.0,718.04,23.41,,24.76,56.73,Low
1349.0,646.55,30.97,0.52,84.33,517.38,High
1350.0,504.14,8.52,7.36,52.71,281.39,Medium
1351.0,268.55,84.51,0.13,7.14,401.23,Unknown
1352.0,,11.28,2.85,67.19,564.16,Unknown
1353.0,270.76,7.22,6.45,74.1,389.3,Medium
1354.0,865.48,91.63,0.26,43.88,987.9,Medium
1355.0,230.92,32.02,6.95,99.54,696.73,Low
1356.0,862.76,91.91,9.86,96.35,540.25,Medium
1357.0,105.45,28.86,3.39,4.45,111.15,Low
1358.0,225.45,18.44,1.1,68.59,315.47,Low
1359.0,167.06,75.37,7.29,63.55,11.88,Medium
1360.0,415.95,97.95,3.46,33.29,955.16,Medium
1361.0,296.79,87.93,9.32,54.79,900.54,High
1362.0,513.42,84.65,2.5,14.89,181.05,High
1363.0,60.82,48.15,9.13,98.53,934.03,Medium
1364.0,754.71,32.4,0.45,99.95,73.33,
1365.0,476.78,37.74,4.0,18.4,920.82,
1366.0,235.56,11.94,1.13,65.21,867.41,Unknown
1367.0,76.33,1.43,2.81,40.62,31.57,Unknown
1368.0,802.27,16.01,1.11,68.45,797.47,High
1369.0,888.44,56.9,4.01,14.11,582.96,Low
1370.0,261.58,97.41,0.28,85.1,484.77,Medium
1371.0,512.34,48.52,9.84,14.71,206.43,High
1372.0,80.71,71.06,6.78,39.25,830.85,Unknown
1373.0,770.25,76.02,4.14,3.75,288.43,Unknown
1374.0,86.66,19.54,5.52,81.35,606.09,Unknown
,718.11,62.57,1.76,,964.28,
1376.0,233.14,97.08,3.3,76.23,299.6,Medium
1377.0,410.05,55.32,6.01,38.56,956.87,Low
1378.0,178.64,92.77,6.39,27.07,548.91,Medium
1379.0,5.08,31.05,0.91,32.68,846.65,Unknown
1380.0,488.06,73.66,0.23,83.55,870.42,High
1381.0,10.97,82.49,4.28,38.62,453.02,Unknown
1382.0,444.19,55.31,5.71,28.0,228.05,High
1383.0,937.59,95.04,4.86,40.88,448.37,Unknown
1384.0,52.4,71.4,7.57,4.94,104.77,Medium
1385.0,899.02,9.04,8.32,8.11,718.63,Medium
,554.62,65.04,5.23,65.73,397.15,Medium
1387.0,740.84,9.25,6.86,32.43,886.82,Unknown
1388.0,750.16,68.5,3.49,59.31,654.3,High
1389.0,323.25,84.76,5.72,41.3,144.42,High
1390.0,164.73,63.58,4.26,13.47,378.16,Medium
1391.0,442.23,75.54,9.56,7.82,704.7,Medium
,487.04,50.63,5.86,39.1,882.32,High
1393.0,516.21,16.54,3.06,94.02,49.12,Medium
1394.0,,17.76,4.92,43.44,,Unknown
1395.0,380.22,3.71,4.55,26.81,853.32,High
1396.0,18.75,39.38,5.96,78.23,630.15,
1397.0,,93.83,2.34,74.01,642.31,High
1398.0,619.73,92.73,8.88,51.14,531.75,High
1399.0,902.93,44.24,0.71,39.22,488.81,Low
1400.0,981.11,49.14,7.35,70.98,898.09,Unknown
1401.0,,35.64,2.61,84.79,806.86,Medium
1402.0,323.98,52.19,4.46,81.53,850.57,High
1403.0,982.67,9.83,6.72,94.02,79.51,Low
1404.0,827.21,27.14,3.33,75.27,153.34,Medium
1405.0,719.46,77.73,7.22,64.51,880.49,High
1406.0,680.46,30.23,3.24,51.23,753.34,Unknown
1407.0,695.98,99.13,5.56,12.74,957.98,High
1408.0,698.47,52.43,0.18,76.21,250.01,Unknown
1409.0,883.05,66.57,5.4,98.58,494.4,High
1410.0,308.57,46.66,5.63,67.14,675.04,High
1411.0,250.7,81.96,4.82,24.94,,High
1412.0,265.94,13.76,3.32,86.46,896.11,Unknown
1413.0,,28.71,,11.5,179.59,Unknown
1414.0,878.7,,8.26,7.09,226.41,Unknown
1415.0,584.25,96.12,8.91,28.92,3.89,High
1416.0,1.26,23.45,4.64,91.45,259.16,Unknown
1417.0,136.26,48.41,6.23,51.04,19.3,Unknown
1418.0,54.05,26.01,6.93,35.94,942.06,Unknown
1419.0,975.4,93.39,7.33,28.34,567.4,High
1420.0,424.72,2.53,5.26,51.6,988.52,Medium
1421.0,166.42,46.06,0.56,85.54,716.13,High
1422.0,531.42,,6.88,51.06,826.53,Low
1423.0,594.15,3.32,0.05,21.76,203.73,Low
1424.0,600.24,,9.38,92.21,781.63,Low
1425.0,590.0,24.11,5.48,80.35,319.06,
1426.0,710.58,12.21,,61.65,446.86,Unknown
1427.0,,3.6,2.87,3.75,822.9,Unknown
1428.0,499.35,3.23,1.11,8.34,127.62,Unknown
1429.0,185.26,96.18,7.78,18.42,412.35,Low
1430.0,930.75,44.54,5.42,85.35,678.96,Unknown
1431.0,518.1,40.27,1.16,21.47,585.11,Unknown
1432.0,191.24,44.66,9.62,,797.07,High
1433.0,1.34,98.8,0.66,91.77,881.51,Low
1434.0,,23.11,,28.5,254.83,Low
1435.0,133.19,81.96,2.82,41.64,336.51,Low
1436.0,479.49,31.74,4.74,75.99,538.55,Medium
1437.0,710.44,52.36,9.1,92.56,36.37,High
1438.0,230.94,31.5,0.16,81.15,182.09,Medium
1439.0,906.25,46.51,5.9,6.84,328.7,Medium
1440.0,888.87,72.82,5.7,45.22,636.45,Medium
1441.0,748.26,56.79,,34.29,,Medium
1442.0,191.28,7.99,7.93,,421.8,Low
1443.0,217.45,43.55,8.25,2.06,402.26,Medium
1444.0,365.63,54.76,7.08,81.36,813.44,Low
1445.0,642.95,12.55,4.22,44.29,511.88,Medium
1446.0,100.58,85.35,7.14,80.24,926.31,Low
1447.0,301.11,23.32,9.85,36.46,449.79,Low
1448.0,528.62,53.81,8.55,59.26,986.37,Unknown
1449.0,752.25,52.51,2.76,30.56,240.52,Medium
1450.0,300.98,32.03,1.53,18.12,422.58,Unknown
1451.0,221.14,72.04,1.37,84.41,45.83,High
1452.0,332.3,35.8,9.08,26.18,137.16,High
1453.0,95.33,10.66,0.45,26.45,396.21,High
1454.0,890.67,11.07,3.54,27.07,369.81,Medium
1455.0,640.91,64.68,0.87,65.78,708.75,Medium
1456.0,516.92,30.7,1.76,24.81,154.09,Unknown
1457.0,606.33,60.18,8.37,63.88,921.18,Medium
1458.0,421.37,79.29,4.57,70.23,145.99,Unknown
1459.0,873.73,20.0,7.61,58.28,569.75,
1460.0,866.13,89.56,3.55,36.83,319.8,Low
1461.0,805.27,21.52,1.43,78.87,594.85,Unknown
1462.0,19.88,97.05,5.55,27.82,30.61,High
1463.0,469.2,37.76,1.57,90.23,945.43,High
1464.0,793.96,57.72,6.31,25.57,918.2,Medium
1465.0,133.06,46.0,5.93,11.21,736.22,High
1466.0,710.2,40.53,3.99,21.07,232.63,Medium
1467.0,355.51,91.37,2.06,52.46,407.25,Medium
1468.0,256.67,74.8,1.48,23.68,38.02,Low
1469.0,631.77,33.02,1.83,44.0,286.98,Unknown
1470.0,436.65,44.67,9.36,99.83,226.91,Low
1471.0,674.22,47.45,1.39,0.1,701.24,Low
1472.0,525.59,9.96,0.95,72.2,469.63,Medium
1473.0,350.26,21.86,0.45,3.55,261.38,High
1474.0,654.86,24.46,7.92,7.3,147.81,Low
1475.0,461.18,8.82,4.23,18.5,926.54,Low
1476.0,442.14,68.3,9.69,35.39,995.24,Low
1477.0,79.45,41.67,1.53,11.79,623.62,Unknown
1478.0,790.53,71.39,3.96,8.73,3.92,Low
,529.14,19.05,0.26,16.53,959.25,Unknown
1480.0,779.33,,8.44,78.86,271.42,Unknown
1481.0,257.29,0.53,4.18,73.88,113.11,High
1482.0,695.91,7.23,8.4,23.05,885.86,Unknown
1483.0,719.09,31.76,7.05,80.02,540.26,Medium
1484.0,277.53,39.28,8.54,71.63,232.12,Unknown
1485.0,780.2,22.07,0.98,11.55,576.16,Medium
1486.0,671.79,8.77,2.7,,226.8,High
1487.0,314.46,54.79,8.73,93.25,743.3,Unknown
1488.0,483.62,41.48,7.91,21.81,692.74,High
1489.0,457.12,34.75,0.4,3.95,498.82,Unknown
1490.0,768.81,36.38,8.88,24.45,365.35,Medium
1491.0,945.11,81.18,9.77,6.36,730.67,Medium
1492.0,976.51,22.2,9.84,,99.24,Medium
1493.0,,72.22,0.96,48.52,483.27,Low
1494.0,924.92,21.33,9.73,22.3,844.57,Unknown
1495.0,673.84,18.14,0.79,18.62,219.48,Low
1496.0,399.8,43.4,9.04,29.41,64.54,Medium
1497.0,938.51,36.46,2.59,89.03,26.76,Low
1498.0,91.41,64.23,1.74,66.43,392.47,High
